"HolderAddress","Balance","PendingBalanceUpdate"
"0x6301add4fb128de9778b8651a2a9278b86761423","2,641,749,989.154594315035019081","No"
"0x4fbede53b59d1a2ab85f785ad76e1dcd66a1546a","2,601,256,986.929877290936240719","No"
"0x24cfdf222f3d8a1e5e081b726866f0f580464fb0","2,600,000,000","No"
"0x220179548474b2c2919942ebf00446494243ab55","2,583,349,568.442178835544142701","No"
"0xd1514d86d07f7606f1d8c0b5ea3d0cd75c1b8636","2,494,398,554.644713277739646131","No"
"0xe3cadc86b296e57c55dcb7c9e90936e7517237b3","2,481,661,801.949603567578030076","No"
"0x7c4c62f16f0bc4d86efbf9f957eec7a743a36421","2,450,661,780","No"
"0x063c78e4a9b448b29de361370ec97b1faf144c58","2,396,741,772.447181940309648948","No"
"0x308bff328370fc4a9683ab9fcd79a21be6dc5ee4","2,300,000,000","No"
"0x1e8ebaa6d9bf90ca2800f97c95afedd6a64c91e2","2,287,431,740.38486063445424667","No"
"0xcbe203901e2f3ca910558efba39a48af89e3c558","2,284,250,759.286913373969841744","No"
"0x64809bdf6622856382c27a7cc73e8c8106d33c33","2,244,557,198.189585964739127732","No"
"0x22fb01bc86f522d1b78ecc73f1ea039e5db0e405","2,220,229,988.197105084761292223","No"
"0x23b4cd421b7cb7d274689b2a7c100baf8546941b","2,205,557,805.193393229631091947","No"
"0x1418ab54752826a82698a23e22ebbf7e678cfe47","2,176,253,202.078325000141397297","No"
"0x3a196c5ad782270afa4002ec212b527094ab81c7","2,151,888,630.169712779187283964","No"
"0xf549c043c5f7982fd701c7bd24e408afff925a9f","2,143,140,654.92","No"
"0xda6dd9814bfe3e16bbd07ab9cddec7d4ce6beefd","2,116,911,881.821997999199341756","No"
"0x876dad703db89ba7fae71be3c46b909c6a741406","2,100,000,000","No"
"0x99d09ab186be7213bfe085d737d394a044280da9","2,090,157,673.35537816458483756","No"
"0x4530d87dfbdd0a59c499249f08c67dc8b4bd6ee1","2,031,985,772.11064537298669116","No"
"0xc32eb36f886f638fffd836df44c124074cfe3584","2,027,295,214","No"
"0xbc4bfa3119b488ce3d5516c3857fb59cf8549d5d","2,027,181,116.986660095119014482","No"
"0xe58bc0de746eb83efaef6eebd55e9ecced6346fa","2,000,053,798.879949535330127639","No"
"0x9e95586ef59afccc2b7e42d00b2aa386bd960562","2,000,003,171.42491327756979944","No"
"0x8c2821f3efd492088830338ddad982ffecb2081e","2,000,000,000","No"
"0x308cbbba198eb4c0ad908d7616df32c04a39cbdf","2,000,000,000.000000000000081547","No"
"0xd6bf834c197788a1d16001d65bc6eff4be331369","2,000,000,000","No"
"0x48511f05704bd809e8b48979214bdda723eebb09","2,000,000,000","No"
"0x2f14a4abc940049de389973c8d4ad022712dafc6","1,971,622,708.990919556036335368","No"
"0xcd76be8e31f3eb171b404b13c0d660a9463f633e","1,966,319,233.596393336131427554","No"
"0x27aa58ab82162c9218acc0dda62fdc9a3bf15a2c","1,955,446,285.306229855278819765","No"
"0x82d9df300b327efbd16637d311ae2fcd97df1512","1,954,951,219.652459969861153","No"
"0x038bdee67c5776baffd8f10fca6c4bfc5c5372a6","1,927,050,566.215224808371954886","No"
"0x506be4f0e86a733226bfc206ee30f623f8cd8c00","1,913,395,937.426531127158523853","No"
"0x8ff55b93a1ed400e8bc44dc0026459209700a704","1,900,000,000","No"
"0x85576f5c118cb39fdce496897258db4efbc8d261","1,835,583,091.597435556124914493","No"
"0x44d54ce6e1282d4e0fed36227cdca7a263392af7","1,833,811,997.506058522307601098","No"
"0x8d77fe66ef7b1f61ea9f5c31c28d58c6661679ae","1,802,695,368.416314865687330741","No"
"0xf3c8d744a34b74feca1b740b025ae124b42d56ea","1,800,000,000.912378253703263249","No"
"0x8468329dd1d7127257d1113c37c6aadd4b8edc5e","1,766,678,854.261295325591524904","No"
"0x8ca99e7abd2c6cc2ab12a03c641ac13761735e74","1,703,307,989.553580320428654592","No"
"0x2b44bcb3ef096a98aa6d2bdf7d12ac76261c3c0e","1,663,312,999.799278054721588758","No"
"0xfb9e572f4ff820837a37b3337105a5394e69065c","1,632,481,310.172589909897783956","No"
"0x704c8c855765b4c053cc2dc02b3f318caf2ab732","1,626,325,793.109485068898420533","No"
"0xc9f1eb90b08dd435291a48a2bd967418214484aa","1,540,611,248.327013551177018051","No"
"0x3e8c7e7bb012f349d3166f8cbdb2767cff4df732","1,528,756,843.921191295167101485","No"
"0x738512644257bd9269369322d18a0d92b0a64a2c","1,520,854,177.385148486544652123","No"
"0xf040aedf10948c1f69249226e22eb4856471a3aa","1,510,801,114.478776899321847039","No"
"0x3c093d2b37f37273fd3abb455ee47e26a368598e","1,510,262,974.503048930153737822","No"
"0x527c973ec0ceb832c259ed8d1102e2503d0194a2","1,500,143,167.506623790667098013","No"
"0x54583815f9fc18e50277e2149ea73a3ec2c5fcde","1,498,583,133.94330166692010598","No"
"0x2d05f736cbfef5f1e84b097e09d48575e8995848","1,490,683,821.788049223827711078","No"
"0xad55df79fc48258e526beca6648b157941320a1c","1,451,365,271.282722066066912206","No"
"0x0b6db6c404d7f798342e7cdbf1aa94d4d892cdab","1,449,273,668.20438719628841098","No"
"0xd84e11bee5d555ccd905817cb8cbbd5b6e6c4f0d","1,446,659,955.884926522562040689","No"
"0xc184d9ca1a09db9a0a31e776a5a023cd4323a0be","1,446,281,188.794736619233387046","No"
"0xa9dded3f4861aad6ec5ada6be8e30ff4d88eb35a","1,437,223,631.589176110651421635","No"
"0x2274f2a55f7c3c2f128c8d345515e6da138fe459","1,430,047,073.368863389581651555","No"
"0x2bfe66759f0331066f3e7d57b3dc9a96bfc17927","1,426,716,936.882829007137491848","No"
"0x84dcb706bd06fa67871a6572ca68737d3bbfe4a3","1,410,336,072.826682689580144822","No"
"0x6a6357f3a4ef453c5af692a96d16cb17069123dd","1,405,746,643.388199316506823433","No"
"0xd32bf6847fbe09a68b8b600c9aa5f2ec36f55105","1,378,672,634.549909663449975072","No"
"0xdcc7a6a4d0631f0801b9f9d87ab5572ea8ec6a7f","1,366,135,184.445904098292408698","No"
"0xc2297f80b89510e4d52de998bbd5a1954e7fbae4","1,356,607,424.332979460781159207","No"
"0x3041cf296fb15907055b631ae27fed011a5d3a38","1,313,770,635.183894087688969412","No"
"0xd2fc8629c13dfce97b35e32a4c62a5fee3ceb962","1,312,087,750.432573978449296237","No"
"0x3c3135481f2495304ee71e9a911be9f8f33229cb","1,312,043,652.724927870561267174","No"
"0x694479b55b6fd30b3a05d67cfc5b77eff6bfdc3a","1,300,000,000","No"
"0x6189717673e1ed5da55080d0898c70f91d2784d0","1,300,000,000.000000000000005034","No"
"0xaa234c136dad85c093cc8afc987c5b0c43d10b08","1,297,874,724.922745065262124603","No"
"0xe94560aa36e16c2ce91aa989fd46642b44860397","1,287,832,338.492557389825066044","No"
"0x8df24569a74e094bf75e17d1f0c238d39b5e17b5","1,262,601,921.195699342537575835","No"
"0x958d62982da21516754c3101c92ad17f3a4415b2","1,260,075,792.259519998190321299","No"
